Model,Threshold_Type,Metric,Mean,Std,Median,Min,Max
Random Forest,Threshold_Val,Accuracy,0.679545311275582,0.273211105861589,0.8262798004065792,0.237994016690285,0.9859518811561441
Random Forest,Threshold_Val,Balanced Accuracy,0.77685744478472,0.17027123315243736,0.8464393531966243,0.5042511780372875,0.9909956530738977
Random Forest,Threshold_Val,Precision,0.5359121241693191,0.25137716349498274,0.5882615487614372,0.22601993800787468,0.9399585921325052
Random Forest,Threshold_Val,Recall,0.9523085651645063,0.0705959760437389,0.9996312684365781,0.7651515151515151,1.0
Random Forest,Threshold_Val,Specificity,0.6014063244049274,0.35741394093223744,0.8039117352056068,0.00850235607457484,0.9819913061477853
Random Forest,Threshold_Val,F1,0.6465096421614207,0.2119575775341249,0.729106628242075,0.36870515886573285,0.9690501600853789
Random Forest,Threshold_Val,ROC-AUC,0.9151019544245526,0.10830742651366544,0.9438757034583046,0.6015859369132712,1.0
Random Forest,Threshold_Val,PR-AUC,0.8100106572826457,0.20099464566772043,0.8704856379174881,0.35392472860082236,1.0
XGBoost,Threshold_0.5,Accuracy,0.829612021982237,0.13341345789556683,0.8429911036306804,0.4521335222799559,1.0
XGBoost,Threshold_0.5,Balanced Accuracy,0.7321998621075196,0.16961767091148647,0.6924778761061947,0.5,1.0
XGBoost,Threshold_0.5,Precision,0.7042716671401729,0.3754076634312537,0.9824929971988795,0.0,1.0
XGBoost,Threshold_0.5,Recall,0.5580256129556687,0.3754600167216752,0.41439393939393937,0.0,1.0
XGBoost,Threshold_0.5,Specificity,0.9063741112593614,0.1884352472419176,0.9999999999999875,0.2871337840606419,0.9999999999999902
XGBoost,Threshold_0.5,F1,0.5458926732227755,0.3096280171327282,0.5559105431309904,0.0,1.0
XGBoost,Threshold_0.5,ROC-AUC,0.9228554983028378,0.12485849628966766,0.994130347625112,0.5040999523808345,1.0
XGBoost,Threshold_0.5,PR-AUC,0.8649547574778041,0.18094043789788714,0.9835382481620726,0.32596971834305766,1.0
XGBoost,Threshold_Val,Accuracy,0.6447245645250259,0.2613134040670914,0.7784835571279247,0.23201070697527948,0.9851921128516873
XGBoost,Threshold_Val,Balanced Accuracy,0.734420794819228,0.17671193461024612,0.7938245978204463,0.4824884438931515,0.9906780492591503
XGBoost,Threshold_Val,Precision,0.5072385959387015,0.2748010577441846,0.5053859964093357,0.20386758439855784,1.0
XGBoost,Threshold_Val,Recall,0.8963049652862806,0.2077106378432578,1.0,0.28674242424242424,1.0
XGBoost,Threshold_Val,Specificity,0.5725366243521695,0.34605791845364064,0.7136769902307138,0.000717066174964143,0.9999999999999895
XGBoost,Threshold_Val,F1,0.5845001513286311,0.21236179198844732,0.5772054911141854,0.28656991476618293,0.9652650822669104
XGBoost,Threshold_Val,ROC-AUC,0.9228554983028378,0.12485849628966766,0.994130347625112,0.5040999523808345,1.0
XGBoost,Threshold_Val,PR-AUC,0.8649547574778041,0.18094043789788714,0.9835382481620726,0.32596971834305766,1.0
Deep Learning,Threshold_0.5,Accuracy,0.846553287837924,0.12696997964201448,0.8297787042976267,0.6024248149897654,0.9974164379137737
Deep Learning,Threshold_0.5,Balanced Accuracy,0.7686994586809714,0.18502679772339134,0.7413439868879328,0.4887884718704429,0.9983440281515215
Deep Learning,Threshold_0.5,Precision,0.666117725055093,0.36479066229122886,0.7283359914938863,0.0,1.0
Deep Learning,Threshold_0.5,Recall,0.6312218923858334,0.37612872815868886,0.9097690941385436,0.0,1.0
Deep Learning,Threshold_0.5,Specificity,0.9061770249761,0.15432113016650972,0.9956548727498346,0.4826879737758632,0.9999999999999902
Deep Learning,Threshold_0.5,F1,0.602710437552653,0.3362759108013301,0.622663281790907,0.0,0.9941605839416059
Deep Learning,Threshold_0.5,ROC-AUC,0.904041985525285,0.14671957136153346,0.9857477711586167,0.5668681403024023,1.0
Deep Learning,Threshold_0.5,PR-AUC,0.8069705608001156,0.2476290151092206,0.9622782557288952,0.29872570479466365,1.0
Deep Learning,Threshold_Val,Accuracy,0.781128155766527,0.20214909028860745,0.8484411316822954,0.39938592347661783,0.9906664483379728
Deep Learning,Threshold_Val,Balanced Accuracy,0.7783436966322602,0.18293620912073505,0.8502663622526636,0.5,0.9788742669370941
Deep Learning,Threshold_Val,Precision,0.6262087885602077,0.3276507189865384,0.7072934334867943,0.0,1.0
Deep Learning,Threshold_Val,Recall,0.779094474551519,0.32812850135634664,0.9579579579579579,0.0,1.0
Deep Learning,Threshold_Val,Specificity,0.7775929187129934,0.27122288238397213,0.926102256261634,0.21850030731407388,0.9999999999999902
Deep Learning,Threshold_Val,F1,0.6211371997914475,0.31392574743177887,0.7497021839841165,0.0,0.9781525488692986
Deep Learning,Threshold_Val,ROC-AUC,0.904041985525285,0.14671957136153346,0.9857477711586167,0.5668681403024023,1.0
Deep Learning,Threshold_Val,PR-AUC,0.8069705608001156,0.2476290151092206,0.9622782557288952,0.29872570479466365,1.0
