Subject,Logistic Regression_AUC,Random Forest_AUC,XGBoost_AUC,Deep Learning_AUC,Logistic Regression_Acc_ValThresh,Random Forest_Acc_ValThresh,XGBoost_Acc_ValThresh,Deep Learning_Acc_ValThresh
2,0.6753584435712889,0.6015859369132712,0.5040999523808345,0.5668681403024023,0.3463626492942454,0.5075586736824522,0.4826693393468638,0.49853837801720535
3,0.9976428310975493,0.9217752653194389,0.9040445021782103,0.5818181818181818,0.810384678883936,0.9005283143470365,0.8445600132078587,0.7861152385669473
4,0.9998535757512785,0.9277852845330845,0.8205469942982676,0.9998574412277496,0.9902982681205901,0.8935214881334188,0.2949005772931366,0.9368986529826812
5,0.7950356895418715,0.970610450248734,0.9998930280134283,0.9504054007844116,0.823006780453589,0.9698386719663316,0.9851921128516873,0.7942483048866028
6,0.999514645535588,0.9717146007263808,0.994130347625112,0.9988267062874393,0.3260193220894056,0.9095300474864909,0.8766169968888161,0.9906664483379728
7,0.9996183122346995,0.9947377836402511,0.9964826335985553,0.9995967590241334,0.5605395741914513,0.8497480903624248,0.9783032666991711,0.9492930277913213
8,0.9570724512554862,0.8774578915060474,0.9966052968757894,0.9952097808965286,0.8618287843200777,0.4598687940390378,0.6782214303069571,0.9620150643881105
9,0.8425552068838036,0.7623685694227111,0.902052973627109,0.798301433477133,0.4013372472276582,0.34466731898238745,0.482795172863666,0.7412752772341813
10,0.9453268051740262,0.8153242930034131,0.9272382011604068,0.9332996577036878,0.24271768225476303,0.237994016690285,0.23201070697527948,0.39938592347661783
11,0.9585118822726567,0.9999663916493133,1.0,0.9857477711586167,0.28612647270978603,0.3490422377174,0.30696481526007857,0.8484411316822954
13,0.9905131187847845,0.9438757034583046,0.9146571600758032,0.9779345816447241,0.21645437795401745,0.25987342786189216,0.2783785948890491,0.46735560362092443
14,1.0,1.0,1.0,1.0,0.33505570805748425,0.9859518811561441,0.8451477474568061,0.9423542709510738
15,0.6517238380637345,0.9402316445118911,0.8835687491145255,0.7758820646761084,0.6812049528737757,0.8262798004065792,0.8175013860654223,0.5138606542228793
16,0.9816023669853684,0.9991437990129931,0.999933470993981,0.9988015179836911,0.7761518050976923,0.7613572404920801,0.7784835571279247,0.9848034091822787
17,0.9966565970604916,0.999951702422454,0.999579164600544,0.9980803458944641,0.7093508997429306,0.9374196658097687,0.7891227506426736,0.9016709511568124
